timestamp,zone_id,metric,value,threshold,alert_status
2025-08-31 16:08:32,Z1-Freezer,humidity,62.32,50 to 70%,normal
2025-08-31 16:08:32,Z2-Chiller,temperature,2.52,2 to 4 °C,normal
2025-08-31 16:08:32,Z2-Chiller,humidity,70.17,70 to 80%,normal
2025-08-31 16:08:32,Z3-Produce,temperature,11.57,8 to 12 °C,normal
2025-08-31 16:08:32,Z3-Produce,humidity,82.64,80 to 95%,normal
2025-08-31 16:08:32,Z4-Pharma,temperature,-2.07,-5 to -2 °C,normal
2025-08-31 16:08:32,Z4-Pharma,humidity,52.97,50 to 60%,normal
2025-08-31 16:08:34,Z1-Freezer,temperature,-21.85,-22 to -18 °C,normal
2025-08-31 16:08:34,Z1-Freezer,humidity,64.22,50 to 70%,normal
2025-08-31 16:08:34,Z2-Chiller,temperature,2.82,2 to 4 °C,normal
2025-08-31 16:08:34,Z2-Chiller,humidity,75.08,70 to 80%,normal
2025-08-31 16:08:34,Z3-Produce,temperature,9.12,8 to 12 °C,alert
2025-08-31 16:08:34,Z3-Produce,humidity,96.29,80 to 95%,alert
2025-08-31 16:08:34,Z4-Pharma,temperature,-4.16,-5 to -2 °C,normal
2025-08-31 16:08:34,Z4-Pharma,humidity,57.12,50 to 60%,normal
2025-08-31 16:08:36,Z1-Freezer,temperature,-19.61,-22 to -18 °C,normal
2025-08-31 16:08:36,Z1-Freezer,humidity,66.3,50 to 70%,normal
2025-08-31 16:08:36,Z2-Chiller,temperature,2.31,2 to 4 °C,normal
2025-08-31 16:08:36,Z2-Chiller,humidity,72.92,70 to 80%,normal
2025-08-31 16:08:36,Z3-Produce,temperature,14.0,8 to 12 °C,alert
2025-08-31 16:08:36,Z3-Produce,humidity,96.9,80 to 95%,alert
2025-08-31 16:08:36,Z4-Pharma,temperature,-1.24,-5 to -2 °C,alert
2025-08-31 16:08:36,Z4-Pharma,humidity,58.45,50 to 60%,alert
2025-08-31 16:08:38,Z1-Freezer,temperature,-19.22,-22 to -18 °C,normal
2025-08-31 16:08:38,Z1-Freezer,humidity,68.39,50 to 70%,normal
2025-08-31 16:08:38,Z2-Chiller,temperature,3.72,2 to 4 °C,normal
2025-08-31 16:08:38,Z2-Chiller,humidity,78.75,70 to 80%,normal
2025-08-31 16:08:38,Z3-Produce,temperature,9.32,8 to 12 °C,normal
2025-08-31 16:08:38,Z3-Produce,humidity,85.46,80 to 95%,normal
2025-08-31 16:08:38,Z4-Pharma,temperature,-4.39,-5 to -2 °C,normal
2025-08-31 16:08:38,Z4-Pharma,humidity,59.29,50 to 60%,normal
2025-08-31 16:08:40,Z1-Freezer,temperature,-20.01,-22 to -18 °C,normal
2025-08-31 16:08:40,Z1-Freezer,humidity,58.11,50 to 70%,normal
2025-08-31 16:08:40,Z2-Chiller,temperature,3.5,2 to 4 °C,normal
2025-08-31 16:08:40,Z2-Chiller,humidity,70.35,70 to 80%,normal
2025-08-31 16:08:40,Z3-Produce,temperature,7.86,8 to 12 °C,alert
2025-08-31 16:08:40,Z3-Produce,humidity,85.13,80 to 95%,alert
2025-08-31 16:08:40,Z4-Pharma,temperature,-3.71,-5 to -2 °C,normal
2025-08-31 16:08:40,Z4-Pharma,humidity,57.98,50 to 60%,normal
2025-08-31 16:08:42,Z1-Freezer,temperature,-19.86,-22 to -18 °C,normal
2025-08-31 16:08:42,Z1-Freezer,humidity,66.96,50 to 70%,normal
2025-08-31 16:08:42,Z2-Chiller,temperature,3.16,2 to 4 °C,normal
2025-08-31 16:08:42,Z2-Chiller,humidity,77.72,70 to 80%,normal
2025-08-31 16:08:42,Z3-Produce,temperature,10.94,8 to 12 °C,normal
2025-08-31 16:08:42,Z3-Produce,humidity,94.06,80 to 95%,normal
2025-08-31 16:08:42,Z4-Pharma,temperature,-4.31,-5 to -2 °C,normal
2025-08-31 16:08:42,Z4-Pharma,humidity,57.03,50 to 60%,normal
2025-08-31 16:08:44,Z1-Freezer,temperature,-20.92,-22 to -18 °C,normal
2025-08-31 16:08:44,Z1-Freezer,humidity,61.95,50 to 70%,normal
2025-08-31 16:08:44,Z2-Chiller,temperature,2.69,2 to 4 °C,normal
2025-08-31 16:08:44,Z2-Chiller,humidity,77.86,70 to 80%,normal
2025-08-31 16:08:44,Z3-Produce,temperature,10.75,8 to 12 °C,normal
2025-08-31 16:08:44,Z3-Produce,humidity,85.43,80 to 95%,normal
2025-08-31 16:08:44,Z4-Pharma,temperature,-4.17,-5 to -2 °C,normal
2025-08-31 16:08:44,Z4-Pharma,humidity,50.38,50 to 60%,normal
2025-08-31 16:08:46,Z1-Freezer,temperature,-19.33,-22 to -18 °C,alert
2025-08-31 16:08:46,Z1-Freezer,humidity,71.41,50 to 70%,alert
2025-08-31 16:08:46,Z2-Chiller,temperature,2.25,2 to 4 °C,normal
2025-08-31 16:08:46,Z2-Chiller,humidity,74.49,70 to 80%,normal
2025-08-31 16:08:46,Z3-Produce,temperature,10.41,8 to 12 °C,normal
2025-08-31 16:08:46,Z3-Produce,humidity,81.3,80 to 95%,normal
2025-08-31 16:08:46,Z4-Pharma,temperature,-6.1,-5 to -2 °C,alert
2025-08-31 16:08:46,Z4-Pharma,humidity,50.07,50 to 60%,alert
2025-08-31 16:08:48,Z1-Freezer,temperature,-19.42,-22 to -18 °C,alert
2025-08-31 16:08:48,Z1-Freezer,humidity,48.28,50 to 70%,alert
2025-08-31 16:08:48,Z2-Chiller,temperature,3.5,2 to 4 °C,normal
2025-08-31 16:08:48,Z2-Chiller,humidity,73.28,70 to 80%,normal
2025-08-31 16:08:48,Z3-Produce,temperature,10.79,8 to 12 °C,normal
2025-08-31 16:08:48,Z3-Produce,humidity,92.47,80 to 95%,normal
2025-08-31 16:08:48,Z4-Pharma,temperature,-3.82,-5 to -2 °C,normal
2025-08-31 16:08:48,Z4-Pharma,humidity,56.18,50 to 60%,normal
2025-08-31 16:08:50,Z1-Freezer,temperature,-18.24,-22 to -18 °C,normal
2025-08-31 16:08:50,Z1-Freezer,humidity,69.53,50 to 70%,normal
2025-08-31 16:08:50,Z2-Chiller,temperature,2.49,2 to 4 °C,normal
2025-08-31 16:08:50,Z2-Chiller,humidity,78.86,70 to 80%,normal
2025-08-31 16:08:50,Z3-Produce,temperature,10.77,8 to 12 °C,normal
2025-08-31 16:08:50,Z3-Produce,humidity,86.79,80 to 95%,normal
2025-08-31 16:08:50,Z4-Pharma,temperature,-2.35,-5 to -2 °C,normal
2025-08-31 16:08:50,Z4-Pharma,humidity,56.39,50 to 60%,normal
2025-08-31 16:08:52,Z1-Freezer,temperature,-20.78,-22 to -18 °C,normal
2025-08-31 16:08:52,Z1-Freezer,humidity,54.31,50 to 70%,normal
2025-08-31 16:08:52,Z2-Chiller,temperature,3.71,2 to 4 °C,normal
2025-08-31 16:08:52,Z2-Chiller,humidity,79.55,70 to 80%,normal
2025-08-31 16:08:52,Z3-Produce,temperature,8.62,8 to 12 °C,normal
2025-08-31 16:08:52,Z3-Produce,humidity,94.64,80 to 95%,normal
2025-08-31 16:08:52,Z4-Pharma,temperature,-3.52,-5 to -2 °C,alert
2025-08-31 16:08:52,Z4-Pharma,humidity,61.1,50 to 60%,alert
2025-08-31 16:08:54,Z1-Freezer,temperature,-19.9,-22 to -18 °C,normal
2025-08-31 16:08:54,Z1-Freezer,humidity,54.78,50 to 70%,normal
2025-08-31 16:08:54,Z2-Chiller,temperature,3.96,2 to 4 °C,normal
2025-08-31 16:08:54,Z2-Chiller,humidity,70.83,70 to 80%,normal
2025-08-31 16:08:54,Z3-Produce,temperature,11.65,8 to 12 °C,normal
2025-08-31 16:08:54,Z3-Produce,humidity,94.7,80 to 95%,normal
2025-08-31 16:08:54,Z4-Pharma,temperature,-5.8,-5 to -2 °C,alert
2025-08-31 16:08:54,Z4-Pharma,humidity,59.11,50 to 60%,alert
2025-08-31 16:08:56,Z1-Freezer,temperature,-20.1,-22 to -18 °C,normal
2025-08-31 16:08:56,Z1-Freezer,humidity,64.12,50 to 70%,normal
